ID,name,frequency_distribution,frequency_parameter0,frequency_parameter1,frequency_parameter2,impact_distribution,impact_parameter0,impact_parameter1,impact_parameter2
CVE-2019-16548,UniformPERT,Uniform,0,1,,PERT,0,6.8,10
CVE-2019-16547,UniformPERT,Uniform,0,1,,PERT,0,4,10
CVE-2019-16546,UniformPERT,Uniform,0,1,,PERT,0,4.3,10
CVE-2013-2092,UniformPERT,Uniform,0,1,,PERT,0,4.3,10
CVE-2013-2091,UniformPERT,Uniform,0,1,,PERT,0,7.5,10
CVE-2013-1817,UniformPERT,Uniform,0,1,,PERT,0,5,10
CVE-2013-1816,UniformPERT,Uniform,0,1,,PERT,0,5,10
CVE-2012-1257,UniformPERT,Uniform,0,1,,PERT,0,2.1,10
CVE-2011-4455,UniformPERT,Uniform,0,1,,PERT,0,4.3,10
CVE-2011-4454,UniformPERT,Uniform,0,1,,PERT,0,4.3,10
CVE-2010-4659,UniformPERT,Uniform,0,1,,PERT,0,4.3,10
CVE-2010-4660,UniformPERT,Uniform,0,1,,PERT,0,7.5,10
CVE-2013-0195,UniformPERT,Uniform,0,1,,PERT,0,4.3,10
CVE-2013-0194,UniformPERT,Uniform,0,1,,PERT,0,4.3,10
CVE-2013-0193,UniformPERT,Uniform,0,1,,PERT,0,4.3,10
CVE-2012-6136,UniformPERT,Uniform,0,1,,PERT,0,4.9,10
CVE-2011-1028,UniformPERT,Uniform,0,1,,PERT,0,7.5,10
CVE-2019-15072,UniformPERT,Uniform,0,1,,PERT,0,4.3,10
CVE-2019-15071,UniformPERT,Uniform,0,1,,PERT,0,4.3,10
CVE-2019-6191,UniformPERT,Uniform,0,1,,PERT,0,4.6,10
